url,year,title,reviews,tomatometer,av_rating,audience,box_office,director,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6
/m/dear_america_letters_home_from_vietnam,1987,Dear America: Letters Home from Vietnam,14,100.0,8.4,94,NA,Bill Couturié,Tom Berenger,Ellen Burstyn,J. Kenneth Campbell,Richard Chaves,Josh Cruze,Willem Dafoe
/m/1014027-mission,1986,The Mission,23,65.0,6.4,87,NA,Roland Joffé,Jeremy Irons,Robert De Niro,Ray McAnally,Aidan Quinn,Liam Neeson,Ronald Pickup
/m/1003033-brazil,1985,Brazil,46,98.0,8.7,90,NA,Terry Gilliam,Jonathan Pryce,Robert De Niro,Michael Palin,Kim Greist,Katherine Helmond,Ian Holm
/m/falling_in_love,1984,Falling in Love,11,64.0,5.4,63,NA,Ulu Grosbard,Meryl Streep,Robert De Niro,Harvey Keitel,George Martin,Jane Kaczmarek,David Clennon
/m/once_upon_a_time_in_america,1984,Once Upon a Time in America,48,88.0,8.6,94,NA,Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,Tuesday Weld,Burt Young
/m/1011623-king_of_comedy,1983,The King of Comedy,49,90.0,8.2,90,NA,Martin Scorsese,Robert De Niro,Jerry Lewis,Sandra Bernhard,Ed Herlihy,Louis Polliman Brown,Whitey Ryan
/m/true_confessions,1981,True Confessions,12,75.0,8.1,53,NA,Ulu Grosbard,Robert De Niro,Robert Duvall,Charles Durning,Ed Flanders,Burgess Meredith,Rose Gregorio
/m/raging_bull,1980,Raging Bull,62,95.0,9.0,93,NA,Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,Nicholas Colasanto,Theresa Saldana
/m/deer_hunter,1978,The Deer Hunter,63,94.0,8.6,92,NA,Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage,Meryl Streep,Chuck Aspegren
/m/1900,1977,1900 (Novecento),15,47.0,5.9,85,NA,Bernardo Bertolucci,Burt Lancaster,Gérard Depardieu,Robert De Niro,Romolo Valli,Maria Schneider,Anna-Maria Gherardi
/m/new_york_new_york,1977,"New York, New York  (1977)",31,65.0,6.2,59,NA,Martin Scorsese,Liza Minnelli,Robert De Niro,Lionel Stander,Barry Primus,Mary Kay Place,George Memmoli
/m/last_tycoon,1976,The Last Tycoon  (1976),18,44.0,5.4,39,NA,Elia Kazan,Robert De Niro,Tony Curtis,Robert Mitchum,Jeanne Moreau,Jack Nicholson,Donald Pleasence
/m/taxi_driver,1976,Taxi Driver,77,99.0,9.0,93,NA,Martin Scorsese,Robert De Niro,Jodie Foster,Cybill Shepherd,Peter Boyle,Leonard Harris,Harvey Keitel
/m/godfather_part_ii,1974,The Godfather: Part II,72,97.0,9.5,97,NA,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,Talia Shire,John Cazale
/m/1001634-bang_the_drum_slowly,1973,Bang The Drum Slowly,26,88.0,7.4,62,NA,"John D. Hancock, John Hancock",Michael Moriarty,Robert De Niro,Vincent Gardenia,Heather McRae,Phil Foster,Heather MacRae
/m/mean_streets,1973,Mean Streets,51,98.0,8.9,85,NA,Martin Scorsese,Jeanne Bell,Robert De Niro,Harvey Keitel,Amy Robinson,David Proval,Richard Romanus
/m/born_to_win,1971,Born to Win,5,40.0,5.3,33,NA,Ivan Passer,George Segal,Paula Prentiss,Karen Black,Jay Fletcher,Hector Elizondo,Marcia Jean Kurtz
/m/bloody_mama,1970,Bloody Mama,6,17.0,4.2,41,NA,Roger Corman,Shelley Winters,Don Stroud,Pat Hingle,Robert De Niro,Diane Varsi,Bruce Dern
/m/hi_mom,1970,"Hi, Mom!",11,73.0,6.7,56,NA,Brian DePalma,Robert De Niro,Charles Durnham,Jennifer Salt,Allen Garfield,Lara Parker,Charles Durning
/m/1008942-greetings,1968,Greetings  (1968),15,87.0,6.5,42,NA,Brian DePalma,Jonathan Warden,Jonathan Warden,Robert De Niro,Gerrit Graham,Richard Hamilton,Megan McCormick
/m/1018885-shooting,1967,The Shooting,16,100.0,8.5,67,NA,Monte Hellman,Jack Nicholson,Warren Oates,Will Hutchins,B.J. Merholz,Millie Perkins,Charles Eastman
/m/last_detail,1973,The Last Detail,28,93.0,8.1,87,NA,Hal Ashby,Jack Nicholson,Otis Young,Randy Quaid,Clifton James,Michael Moriarty,Carol Kane
/m/kid_stays_in_the_picture,2002,The Kid Stays in the Picture,110,92.0,7.7,79,1332561,"Nanette Burstein, Brett Morgen",Robert Evans,Phyllis George,Mia Farrow,Ali MacGraw,Francis Ford Coppola,Bob Hope
/m/prizzis_honor,1985,Prizzi's Honor,33,88.0,7.1,62,NA,"John Huston, J. Huston",Jack Nicholson,Kathleen Turner,Robert Loggia,Anjelica Huston,William Hickey,John Randolph
/m/chinatown,1974,Chinatown,63,98.0,9.3,93,NA,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,Diane Ladd,John Hillerman
/m/stanley_kubrick_a_life_in_pictures,2001,Stanley Kubrick: A Life in Pictures,13,85.0,7.4,89,NA,Jan Harlan,Steven Spielberg,Nicole Kidman,Jack Nicholson,Sydney Pollack,Tom Cruise,Martin Scorsese
/m/ride_in_the_whirlwind_1967,1965,Ride in the Whirlwind  (1967),10,100.0,7.5,64,NA,Monte Hellman,Jack Nicholson,Cameron Mitchell,Millie Perkins,Tom Filer,Katherine Squire,George Mitchell
/m/witches_of_eastwick,1987,The Witches of Eastwick,28,75.0,6.2,62,NA,NA,Jack Nicholson,Cher,Susan Sarandon,Michelle Pfeiffer,Veronica Cartwright,Richard Jenkins
/m/ironweed,1987,Ironweed,21,62.0,6.6,60,NA,Hector Babenco,Jack Nicholson,Meryl Streep,Carroll Baker,Tom Waits,Michael O'Keefe,Diane Venora
/m/the_two_jakes,1990,The Two Jakes,18,67.0,5.6,38,NA,Jack Nicholson,Jack Nicholson,Harvey Keitel,Meg Tilly,Madeleine Stowe,Eli Wallach,Ruben Blades
/m/1012514-little_shop_of_horrors,1960,The Little Shop of Horrors,12,92.0,6.3,55,NA,Roger Corman,Jonathan Haze,Jackie Joseph,Mel Welles,Myrtle Vail,Laiola Wendorff,Jack Nicholson
/m/man_trouble,1992,Man Trouble,30,7.0,3.4,14,NA,Bob Rafelson,Jack Nicholson,Ellen Barkin,Harry Dean Stanton,Beverly D'Angelo,Michael McKean,Saul Rubinek
/m/broadcast_news,1987,Broadcast News,42,98.0,8.1,78,NA,James L. Brooks,William Hurt,Holly Hunter,Albert Brooks,Jack Nicholson,Robert Prasky,Robert Prosky
/m/five_easy_pieces,1970,Five Easy Pieces,45,87.0,8.4,84,NA,Bob Rafelson,Jack Nicholson,Karen Black,Susan Anspach,Ralph Waite,Billy Green Bush,Fannie Flagg
/m/fortune,1975,The Fortune,5,20.0,4.8,36,NA,Mike Nichols,Jack Nicholson,Warren Beatty,Stockard Channing,Florence Stanley,Richard B. Shull,Thomas Newman
/m/the-terror-the-haunting-lady-of-the-shadows,1963,The Terror (The Haunting) (The Castle of Terror),11,36.0,5.0,22,NA,Roger Corman,Boris Karloff,Jack Nicholson,Sandra Knight,Dorothy Neumann,Jonathan Haze,Dick Miller
/m/goin_south,1978,Goin' South,14,71.0,6.6,50,NA,Jack Nicholson,Jack Nicholson,Mary Steenburgen,Christopher Lloyd,John Belushi,Veronica Cartwright,Richard Bradford
/m/drive_he_said,1971,"Drive, He Said",12,67.0,5.8,24,NA,Jack Nicholson,William Tepper,Karen Black,Michael Margotta,Bruce Dern,Robert Towne,Henry Jaglom
/m/1001781-batman,1989,Batman,68,72.0,6.6,84,NA,Tim Burton,Michael Keaton,Jack Nicholson,Kim Basinger,Robert Wuhl,Pat Hingle,Billy Dee Williams
/m/few_good_men,1992,A Few Good Men,58,81.0,7.0,89,NA,Rob Reiner,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,Kiefer Sutherland,Kevin Pollak
